ID,Local,Num_Duplicates,Rating,Song,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Date,Spot_Date,Re_Date,Duration,Album,Popularity,Dance,Energy,Key,Volume,Mode,Speech,Acoustic,Instrumental,Lively,Valence,Tempo,URI 1,URI 2,URI 3,URI 4,URI 5,Artist URI 1,Artist URI 2,Artist URI 3,Artist URI 4,Artist URI 5,Artist URI 6,Artist URI 7,Artist URI 8,Artist URI 9,Artist URI 10
3200,No,1,5,Soul Bossa Nova,Quincy Jones,,,,,,,,,,1962,1962-01-01,1962,166590,Big Band Bossa Nova,62,0.551,0.722,5,-9.247,0,0.0529,0.571,0.000306,0.629,0.821,153.181,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3rxIQc9kWT6Ueg4BhnOwRK,,,,,,,,,
3882,No,1,4,Do You Love Me - Mono Single,The Contours,,,,,,,,,,1962,2003-01-01,1962,172400,20th Century Masters: The Millennium Collection: Best Of The Contours,46,0.62,0.81,5,-6.594,1,0.039,0.432,0,0.0843,0.793,150.737,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:2ugPdplEWBmyU6EcIzlcY1,,,,,,,,,
627,No,1,3,Green Onions,Booker T. & the M.G.'s,,,,,,,,,,1962,1962-01-01,1962,176333,Green Onions,72,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:2vDV0T8sxx2ENnKXds75e5,,,,,,,,,
3784,No,1,No Rating,Surfin' U.S.A. - Remastered 2001,The Beach Boys,,,,,,,,,,1963,1963-03-25,Unknown,149373,Surfin' USA (Remastered),74,0.55,0.854,3,-5.968,1,0.036,0.661,0,0.112,0.965,159.231,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3oDbviiivRWhXwIE8hxkVV,,,,,,,,,
3834,No,1,No Rating,I Saw Her Standing There - Remastered 2009,The Beatles,,,,,,,,,,1963,1963-03-22,Unknown,173947,Please Please Me (Remastered),71,0.491,0.801,4,-9.835,1,0.0361,0.27,0,0.0665,0.971,160.109,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,,,,,,,,,
3835,No,1,No Rating,Love Me Do - Remastered 2009,The Beatles,,,,,,,,,,1963,1963-03-22,Unknown,141693,Please Please Me (Remastered),70,0.52,0.829,0,-6.228,1,0.0806,0.386,6.20E-05,0.227,0.744,147.997,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,,,,,,,,,
3836,No,1,No Rating,Twist And Shout - Remastered 2009,The Beatles,,,,,,,,,,1963,1963-03-22,Unknown,155227,Please Please Me (Remastered),76,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74E-06,0.0414,0.937,124.631,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,,,,,,,,,
275,No,1,4,It's the Most Wonderful Time of the Year,Andy Williams,,,,,,,,,,1963,1963-11-24,1963,151933,The Andy Williams Christmas Album,77,0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:4sj6D0zlMOl25nprDJBiU9,,,,,,,,,
1952,No,2,4,Ring of Fire,Johnny Cash,,,,,,,,,,1963,1963-08-06,1963,158427,Ring Of Fire: The Best Of Johnny Cash,72,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:6kACVPfCOnqzgfEF5ryl0x,,,,,,,,,
2336,No,1,3,You Don't Own Me,Lesley Gore,,,,,,,,,,1963,1963-11-01,1963,150000,Lesley Gore Sings Of Mixed-Up Hearts,0,0.479,0.409,2,-10.059,1,0.0257,0.696,0,0.722,0.675,94.914,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:08b2PA6eFyugsWAk41eQKZ,,,,,,,,,
810,No,1,No Rating,Sixteen Going On Seventeen,Charmian Carr,Dan Truhitte,,,,,,,,,1964,1964-01-01,Unknown,196627,The Sound Of Music,0,0.495,0.174,2,-13.89,1,0.0381,0.88,0,0.0956,0.265,125.729,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:0mvTBNG2hAuAEzUVgTYpQ2,spotify:artist:3ykv0g1DnwB8exhwbdgfgH,,,,,,,,
3021,No,1,No Rating,Stand by Me,Otis Redding,,,,,,,,,,1964,1964-01-01,Unknown,172333,Pain in My Heart,70,0.883,0.464,10,-11.251,1,0.0591,0.279,1.51E-05,0.0744,0.925,111.548,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:60df5JBRRPcnSpsIMxxwQm,,,,,,,,,
3773,No,2,No Rating,House Of The Rising Sun,The Animals,,,,,,,,,,1964,1964-01-01,Unknown,271280,The Animals,73,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:3ICflSq6ZgYAIrm2CTkfVP,,,,,,,,,
