ID,Downloaded,Spotify,Remake,Remake ID,Year,Rating,Song,Artists,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Christmas
3067,,,,,2020,1.5,Someone Else’s Dream,Absofacto,Absofacto,,,,,,,,,,,
3068,,,,,2011,3,Someone Like You,Adele,Adele,,,,,,,,,,,
3069,,,,,2019,2,Someone You Loved,"Lazard, Crystal Rock, Denis Kalytovskyi",Lazard,Crystal Rock,Denis Kalytovskyi,,,,,,,,,
3070,,,,,,,Someone You Loved,Lewis Capaldi,Lewis Capaldi,,,,,,,,,,,
3071,,,,,2019,5,Someone You Loved - Future Humans Remix,"Lewis Capaldi, Future Humans",Lewis Capaldi,Future Humans,,,,,,,,,,
3072,,,,,,,Something,The Beatles,The Beatles,,,,,,,,,,,
3073,,,,,,,Something Just Like This,"The Chainsmokers, Coldplay",The Chainsmokers,Coldplay,,,,,,,,,,
3074,,,,,,,Something Strange,"Vicetone, Haley Reinhart",Vicetone,Haley Reinhart,,,,,,,,,,
3075,,,,,2015,4,Something's Gotta Give,All Time Low,All Time Low,,,,,,,,,,,
3076,,,,,,,Sometimes,"Alle Farben, Graham Candy",Alle Farben,Graham Candy,,,,,,,,,,
3077,,,,,2003,3,Somewhere I Belong,Linkin Park,Linkin Park,,,,,,,,,,,
3078,,,,,2004,3,Somewhere Only We Know,Keane,Keane,,,,,,,,,,,
3079,,,,,,,Somewhere Only We Know,Lily Allen,Lily Allen,,,,,,,,,,,
3080,,,,,,,Somewhere Over The Rainbow (What A Wonderful World),Israel Kamakawiwo'ole,Israel Kamakawiwo'ole,,,,,,,,,,,
3081,,,,,2013,3,Somewhereinamerica,JAY-Z,JAY-Z,,,,,,,,,,,
3082,,,,,1997,2,Song 2,Blur,Blur,,,,,,,,,,,
3083,,,,,2005,3,Sophomore Slump Or Comeback Of The Year,Fall Out Boy,Fall Out Boy,,,,,,,,,,,
3084,,,,,2015,3,Sorry,Justin Bieber,Justin Bieber,,,,,,,,,,,
3085,,,,,1975,2,SOS,ABBA,ABBA,,,,,,,,,,,
3086,,,,,,,SOS,Rihanna,Rihanna,,,,,,,,,,,
3087,,,,,1962,5,Soul Bossa Nova,Quincy Jones,Quincy Jones,,,,,,,,,,,
3088,,,,,,,Soul Kitchen,The Doors,The Doors,,,,,,,,,,,
3089,,,,,,,Sound of Madness,Shinedown,Shinedown,,,,,,,,,,,
3090,,,,,,,Soundtrack 2 My Life,Kid Cudi,Kid Cudi,,,,,,,,,,,
3091,,,,,2021,3,Spa - James Hype Remix,"Icona Pop, Sofi Tukker, James Hype",Icona Pop,Sofi Tukker,James Hype,,,,,,,,,
3092,,,,,2018,5,Space Cadet (Feat. Gunna),"Metro Boomin, Gunna",Metro Boomin,Gunna,,,,,,,,,,
3093,,,,,2020,2,Space Melody (Edward Artemyev) (feat. Leony),"VIZE, Alan Walker, Edward Artemyev, Leony",VIZE,Alan Walker,Edward Artemyev,Leony,,,,,,,,
3094,,,,,,,Space Oddity - 2015 Remaster,David Bowie,David Bowie,,,,,,,,,,,
3095,,,,,2012,2,Spaceman,Hardwell,Hardwell,,,,,,,,,,,
3096,Yes,No,,,2012,4,Sparks (Vicetone Remix),"Fedde le Grand, Nicky Romero, Matthew Koma, Vicetone",Fedde le Grand,Nicky Romero,Matthew Koma,Vicetone,,,,,,,,
3097,,,,,,,Speak to Me,Pink Floyd,Pink Floyd,,,,,,,,,,,
3098,,,,,2015,3,Speakerbox (feat. Lafa Taylor),"Bassnectar, Lafa Taylor",Bassnectar,Lafa Taylor,,,,,,,,,,
3099,,,,,2017,3,Speakerbox (Feat. Ohana Bam & Lafa Taylor) - F8 Remix,"Bassnectar, Ohana Bam, Lafa Taylor",Bassnectar,Ohana Bam,Lafa Taylor,,,,,,,,,
3100,,,,,,,Spectre,Radiohead,Radiohead,,,,,,,,,,,
3101,,,,,2005,4,Speed of Sound,Coldplay,Coldplay,,,,,,,,,,,
3102,,,,,,,Spicy (feat. Ginger),"Boris Brejcha, Ginger",Boris Brejcha,Ginger,,,,,,,,,,
3103,,,,,,,Spicy (feat. Post Malone),"Ty Dolla $ign, Post Malone",Ty Dolla $ign,Post Malone,,,,,,,,,,
3104,,,,,1969,3,Spirit In The Sky,Norman Greenbaum,Norman Greenbaum,,,,,,,,,,,
3105,,,,,2016,2,Spirits,The Strumbellas,The Strumbellas,,,,,,,,,,,
3106,,,,,,,Splashin,Rich The Kid,Rich The Kid,,,,,,,,,,,
3107,,,,,,,Split (Only U),"Tiësto, The Chainsmokers",Tiësto,The Chainsmokers,,,,,,,,,,
3108,,,,,,,Spoil My Night (feat. Swae Lee),"Post Malone, Swae Lee",Post Malone,Swae Lee,,,,,,,,,,
3109,,,,,,,Sports,Beach Bunny,Beach Bunny,,,,,,,,,,,
3110,,,,,,,Spread Your Love,Black Rebel Motorcycle Club,Black Rebel Motorcycle Club,,,,,,,,,,,
3111,,,,,2004,4,St. Jimmy,Green Day,Green Day,,,,,,,,,,,
3112,,,,,2003,4,Stacy's Mom,Fountains Of Wayne,Fountains Of Wayne,,,,,,,,,,,
3113,,,,,,,Stainless,"Logic, Dria",Logic,Dria,,,,,,,,,,
3114,,,,,1971,5,Stairway to Heaven,Led Zeppelin,Led Zeppelin,,,,,,,,,,,
3115,,,,,2009,4,Stamp on the Ground,ItaloBrothers,ItaloBrothers,,,,,,,,,,,
3116,,,,,2000,4,Stan,"Eminem, Dido",Eminem,Dido,,,,,,,,,,
3117,,,,,2000,4,Stan,"Eminem, Elton John",Eminem,Elton John,,,,,,,,,,
3118,,,,,2013,4,Stand Alone (feat. Jareth Johnson),"Chris Lake, Lazy Rich, Jareth Johnson",Chris Lake,Lazy Rich,Jareth Johnson,,,,,,,,,
3119,,,,,,,Stand by Me,Otis Redding,Otis Redding,,,,,,,,,,,
3120,,,,,2017,3,STAR,BROCKHAMPTON,BROCKHAMPTON,,,,,,,,,,,
3121,,,,,,,Starboy,"The Weeknd, Daft Punk",The Weeknd,Daft Punk,,,,,,,,,,
3122,,,,,,,Stardust,Mike Mulah,Mike Mulah,,,,,,,,,,,
3123,,,,,,,Stargazer,The Tea Party,The Tea Party,,,,,,,,,,,
3124,,,,,,,Stargazing,"Kygo, Justin Jesso",Kygo,Justin Jesso,,,,,,,,,,
3125,,,,,,,STARGAZING,Travis Scott,Travis Scott,,,,,,,,,,,
3126,,,,,,,Stargazing - Tariq Pijning Edit,"Kygo, Justin Jesso, Tariq Pijning",Kygo,Justin Jesso,Tariq Pijning,,,,,,,,,
3127,,,,,2006,3,Starlight,Muse,Muse,,,,,,,,,,,
3128,,,,,,,Stars Are Blind,Paris Hilton,Paris Hilton,,,,,,,,,,,
3129,,,,,,,Starships,Nicki Minaj,Nicki Minaj,,,,,,,,,,,
3130,,,,,,,Start Me Up,The Rolling Stones,The Rolling Stones,,,,,,,,,,,
3131,,,,,2013,4,Started From The Bottom,Drake,Drake,,,,,,,,,,,
3132,,,,,,,Started From The Bottom (Instrumental ),TORONTO D,TORONTO D,,,,,,,,,,,
3133,,,,,2016,3,Starving,"Hailee Steinfeld, Grey, Zedd",Hailee Steinfeld,Grey,Zedd,,,,,,,,,
3134,,,,,,,Stay,Post Malone,Post Malone,,,,,,,,,,,
3135,,,,,,,Stay,"Rihanna, Mikky Ekko",Rihanna,Mikky Ekko,,,,,,,,,,
3136,,,,,,,Stay,"Zedd, Alessia Cara",Zedd,Alessia Cara,,,,,,,,,,
3137,,,,,,,Stay The Night (Feat. Hayley Williams),"Zedd, Hayley Williams",Zedd,Hayley Williams,,,,,,,,,,
3138,,,,,2003,5,Stay Together For The Kids,blink-182,blink-182,,,,,,,,,,,
3139,,,,,2018,3,Stay With Me,"ayokay, Jeremy Zucker",ayokay,Jeremy Zucker,,,,,,,,,,
3140,,,,,,,Stayin Alive,Bee Gees,Bee Gees,,,,,,,,,,,
3141,,,,,1979,4,Stayin' Alive,Bee Gees,Bee Gees,,,,,,,,,,,
3142,,,,,,,"Steady, as She Goes",The Raconteurs,The Raconteurs,,,,,,,,,,,
3143,,,,,,,Steal My Sunshine,LEN,LEN,,,,,,,,,,,
3144,,,,,2009,4,Stella,All Time Low,All Time Low,,,,,,,,,,,
3145,,,,,,,Step Into A World (Rapture's Delight) - Radio Edit,KRS-One,KRS-One,,,,,,,,,,,
3146,,,,,2009,4,Stereo Love,"Edward Maya, Vika Jigulina",Edward Maya,Vika Jigulina,,,,,,,,,,
3147,,,,,,,Still Ballin (feat. Wiz Khalifa),"Logic, Wiz Khalifa",Logic,Wiz Khalifa,,,,,,,,,,
3148,,,,,2020,4,Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy, Tyga, Tory Lanez",G-Eazy,Tyga,Tory Lanez,,,,,,,,,
3149,,,,,2016,2,Still Breathing,Green Day,Green Day,,,,,,,,,,,
3150,,,,,1999,4,Still D.R.E.,"Dr. Dre, Snoop Dogg",Dr. Dre,Snoop Dogg,,,,,,,,,,
3151,,,,,,,Still Got Time,"ZAYN, PARTYNEXTDOOR",ZAYN,PARTYNEXTDOOR,,,,,,,,,,
3152,,,,,,,Still into You,Paramore,Paramore,,,,,,,,,,,
3153,,,,,,,Still Swingin,Papa Roach,Papa Roach,,,,,,,,,,,
3154,,,,,,,Still Waiting,Sum 41,Sum 41,,,,,,,,,,,
3155,,,,,,,Stir It Up,Bob Marley & The Wailers,Bob Marley & The Wailers,,,,,,,,,,,
3156,,,,,,,Stitches,Shawn Mendes,Shawn Mendes,,,,,,,,,,,
3157,,,,,,,Stole the Show,"Kygo, Parson James",Kygo,Parson James,,,,,,,,,,
3158,,,,,2014,4,Stolen Dance,Milky Chance,Milky Chance,,,,,,,,,,,
3159,,,Yes,3159,2016,4,Stolen Dance,"Twin Bandit, Joshua Hyslop",Twin Bandit,Joshua Hyslop,,,,,,,,,,
3160,,,,,,,Straight Shots,"Showtek, Linka, Mondello' G, GC (Gate Citizens)",Showtek,Linka,Mondello' G,GC (Gate Citizens),,,,,,,,
3161,,,,,,,Straight To Hell,The Clash,The Clash,,,,,,,,,,,
3162,,,,,2017,4,Straightjacket,Quinn XCII,Quinn XCII,,,,,,,,,,,
3163,,,,,,,Strange Days,The Doors,The Doors,,,,,,,,,,,
3164,,,,,2012,2,Stray Heart,Green Day,Green Day,,,,,,,,,,,
3165,,,,,,,Street Spirit (Fade Out),Radiohead,Radiohead,,,,,,,,,,,
3166,,,,,2007,1,Stress,Justice,Justice,,,,,,,,,,,
3167,,,,,2015,4,Stressed Out,"Twenty One Pilots, Ty Dolla $ign",Twenty One Pilots,,,,,Ty Dolla $ign,,,,,,
3168,,,,,2005,3,Stricken,Disturbed,Disturbed,,,,,,,,,,,
3169,,,,,,,Strip That Down,"Liam Payne, Quavo",Liam Payne,Quavo,,,,,,,,,,
3170,,,,,,,Stroke Me (Lance Herbstrong Remix),Lance Herbstrong,Lance Herbstrong,,,,,,,,,,,
3171,,,,,,,Strong,"R3HAB, KSHMR",R3HAB,KSHMR,,,,,,,,,,
3172,,,,,2007,2,Stronger,Kanye West,Kanye West,,,,,,,,,,,
3173,,,,,,,Strut - Sofi Tukker Remix,"Elohim, Sofi Tukker",Elohim,Sofi Tukker,,,,,,,,,,
3174,,,,,,,Stubborn Love,The Lumineers,The Lumineers,,,,,,,,,,,
3175,,,,,,,Stuck In The Middle With You,Stealers Wheel,Stealers Wheel,,,,,,,,,,,
3176,,,,,,,Studio,"ScHoolboy Q, BJ The Chicago Kid",ScHoolboy Q,BJ The Chicago Kid,,,,,,,,,,
3177,,,,,,,Stunnin',"Curtis Waters, Harm Franklin",Curtis Waters,Harm Franklin,,,,,,,,,,
3178,,,,,,,Stunnin' (feat. Harm Franklin),"Curtis Waters, Harm Franklin",Curtis Waters,Harm Franklin,,,,,,,,,,
3179,,,,,2006,3,Stuntin' Like My Daddy,"Birdman, Lil Wayne",Birdman,Lil Wayne,,,,,,,,,,
3180,,,,,,,Stuntin' On You (feat. DaBaby),"Tyla Yaweh, DaBaby",Tyla Yaweh,DaBaby,,,,,,,,,,
3181,,,,,2017,4,Stupid AP,"DJ E-Money, Zoey Dollaz, Future",DJ E-Money,Zoey Dollaz,Future,,,,,,,,,
3182,,,,,,,Stupid Hoe,Nicki Minaj,Nicki Minaj,,,,,,,,,,,
3183,,,,,,,Stupid Love,Lady Gaga,Lady Gaga,,,,,,,,,,,
3184,,,,,2000,4,Stupify,Disturbed,Disturbed,,,,,,,,,,,
3185,,,,,,,Suavemente,Elvis Crespo,Elvis Crespo,,,,,,,,,,,
3186,,,,,1997,4,Subterranean Homesick Alien,Radiohead,Radiohead,,,,,,,,,,,
3187,,,,,,,Such a Whore (Stellular Remix),JVLA,JVLA,,,,,,,,,,,
3188,,,,,2019,5,Sucker,Jonas Brothers,Jonas Brothers,,,,,,,,,,,
3189,,,,,,,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic",Lil Wayne,Wiz Khalifa,Imagine Dragons,X Ambassadors,Logic,,,,,,,
3190,,,,,,,Suddenly I See,KT Tunstall,KT Tunstall,,,,,,,,,,,
3191,,,,,2003,3,Suga Suga,"Baby Bash, Frankie J",Baby Bash,Frankie J,,,,,,,,,,
3192,,,,,2014,4,Sugar,Maroon 5,Maroon 5,,,,,,,,,,,
3193,,,,,2019,3,SUGAR,BROCKHAMPTON,BROCKHAMPTON,,,,,,,,,,,
3194,,,,,1998,3,Sugar,System Of A Down,System Of A Down,,,,,,,,,,,
3195,,,,,,,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Robin Schulz,Francesco Yates,,,,,,,,,,
3196,,,,,,,Sugar (Gimme Some) (Feat. Cee-Lo & Ludacris),Trick Daddy,Trick Daddy,,,,,,,,,,,
3197,,,,,,,"Sugar, Sugar",The Archies,The Archies,,,,,,,,,,,
3198,,,,,2005,4,"Sugar, We're Goin Down",Fall Out Boy,Fall Out Boy,,,,,,,,,,,
3199,,,,,,,Sultans Of Swing,Dire Straits,Dire Straits,,,,,,,,,,,
3200,,,,,2014,3,Summer,Calvin Harris,Calvin Harris,,,,,,,,,,,
3201,,,,,,,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Martin Garrix,Macklemore,Fall Out Boy,,,,,,,,,
3202,,,,,,,Summer Feelings (feat. Charlie Puth),"Lennon Stella, Charlie Puth",Lennon Stella,Charlie Puth,,,,,,,,,,
3203,,,,,1984,4,Summer Of '69,Bryan Adams,Bryan Adams,,,,,,,,,,,
3204,,,,,,,Summer on You,PRETTYMUCH,PRETTYMUCH,,,,,,,,,,,
3205,,,,,,,Summer Paradise (feat. Sean Paul) - Single Version,"Simple Plan, Sean Paul",Simple Plan,Sean Paul,,,,,,,,,,
3206,,,,,,,Summer Wind,Michael Bublé,Michael Bublé,,,,,,,,,,,
3207,,,,,2018,4,Summertime Magic,Childish Gambino,Childish Gambino,,,,,,,,,,,
3208,,,,,2020,3,Summertime Sadness,"Behmer, B3nte, LIINII",Behmer,B3nte,LIINII,,,,,,,,,
3209,,,,,,,Summertime Sadness (Acoustic Cover) feat. Keelan Donovan,"Megan Davies, Keelan Donovan",Megan Davies,Keelan Donovan,,,,,,,,,,
3210,,,,,,,Summertime Sadness (Cedric Gervais Remix),"Lana Del Rey, Cedric Gervais",Lana Del Rey,Cedric Gervais,,,,,,,,,,
3211,,,,,,,Summit (feat. Ellie Goulding),"Skrillex, Ellie Goulding",Skrillex,Ellie Goulding,,,,,,,,,,
3212,,,,,,,Sun Bleached & Dried,G-Eazy,G-Eazy,,,,,,,,,,,
3213,,,,,2014,2,Sun Goes Down (feat. MAGIC! & Sonny Wilson),"David Guetta, Showtek, MAGIC! , Sonny Wilson",David Guetta,Showtek,MAGIC! ,Sonny Wilson,,,,,,,,
3214,,,,,2018,3,Sun In Our Eyes,"MØ, Diplo",MØ,Diplo,,,,,,,,,,
3215,,,,,2017,3,Sun Is Shining,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso,,,,,,,,,
3216,,,,,,,Suncity (feat. Empress Of),"Khalid, Empress Of",Khalid,Empress Of,,,,,,,,,,
3217,,,,,2019,2,Sunday Best,Surfaces,Surfaces,,,,,,,,,,,
3218,,,,,,,Sunday Bloody Sunday,U2,U2,,,,,,,,,,,
3219,,,,,2002,4,Sunday Morning,Maroon 5,Maroon 5,,,,,,,,,,,
3220,,,,,,,Sunday Morning,K-OS,K-OS,,,,,,,,,,,
3221,,,,,2018,4,Sundress,A$AP Rocky,A$AP Rocky,,,,,,,,,,,
3222,,,,,2020,4,Sunflower,"Lofi Fruits Music, Snuggles, Fets",Lofi Fruits Music,Snuggles,Fets,,,,,,,,,
3223,,,,,,,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Post Malone,Swae Lee,,,,,,,,,,
3224,,,,,1976,2,Sunny,Boney M.,Boney M.,,,,,,,,,,,
3225,,,,,2004,3,Sunshine Of Your Love,Cream,Cream,,,,,,,,,,,
3226,,,,,,,Supalonely,"BENEE, Gus Dapperton",BENEE,Gus Dapperton,,,,,,,,,,
3227,,,,,,,Super Bass,Nicki Minaj,Nicki Minaj,,,,,,,,,,,
3228,,,,,,,Super Freak,Rick James,Rick James,,,,,,,,,,,
3229,,,,,2002,4,Superman,"Eminem, Dina Rae",Eminem,Dina Rae,,,,,,,,,,
3230,,,,,1998,2,Superman,Goldfinger,Goldfinger,,,,,,,,,,,
3231,Yes,No,,,2017,3,Superman (Duane Bartolo Bootleg),"Eminem, Duane Bartolo",Eminem,Duane Bartolo,,,,,,,,,,
3232,,,,,2006,3,Supermassive Black Hole,Muse,Muse,,,,,,,,,,,
3233,,,,,,,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]","Skrillex, Noisia, josh pan, Dylan Brady",Skrillex,Noisia,josh pan,Dylan Brady,,,,,,,,
3234,,,,,,,Superstition - Single Version,Stevie Wonder,Stevie Wonder,,,,,,,,,,,
3235,,,,,,,Surfin' U.S.A.,The Beach Boys,The Beach Boys,,,,,,,,,,,
3236,,,,,,,Surprise Surprise,Billy Talent,Billy Talent,,,,,,,,,,,
3237,,,,,2006,3,Surrender,Billy Talent,Billy Talent,,,,,,,,,,,
3238,,,,,,,Surrender,Cheap Trick,Cheap Trick,,,,,,,,,,,
3239,,,,,2013,3,Survival,Eminem,Eminem,,,,,,,,,,,
3240,,,,,,,Survive,The Moog,The Moog,,,,,,,,,,,
3241,,,,,2018,2,Survivor,"2WEI, Edda Hayes",2WEI,Edda Hayes,,,,,,,,,,
3242,,,,,,,Survivor,Destiny's Child,Destiny's Child,,,,,,,,,,,
3243,,,,,2017,2,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",Jason Derulo,Nicki Minaj,Ty Dolla $ign,,,,,,,,,
3244,,,,,,,Sway,Michael Bublé,Michael Bublé,,,,,,,,,,,
3245,,,,,2013,4,Sweat,"Major Lazer, Laidback Luke, Ms. Dynamite",Major Lazer,Laidback Luke,Ms. Dynamite,,,,,,,,,
3246,,,,,1992,3,Sweat (A La La La La Long),Inner Circle,Inner Circle,,,,,,,,,,,
3247,,,,,,,Sweater Weather,The Neighbourhood,The Neighbourhood,,,,,,,,,,,
3248,No,No,,,2016,4,Sweaters,"just a fake, ivan B",just a fake,ivan B,,,,,,,,,,
3249,,,,,2017,4,SWEET,BROCKHAMPTON,BROCKHAMPTON,,,,,,,,,,,
3250,,,,,2020,2,Sweet but Psycho,Ava Max,Ava Max,,,,,,,,,,,
3251,,,,,,,Sweet Caroline,Neil Diamond,Neil Diamond,,,,,,,,,,,
3252,,,,,1987,3,Sweet Child O' Mine,Guns N' Roses,Guns N' Roses,,,,,,,,,,,
3253,,,,,1995,4,Sweet Dreams (Are Made Of This),Marilyn Manson,Marilyn Manson,,,,,,,,,,,
3254,,,,,1983,2,Sweet Dreams (Are Made of This),Eurythmics,Eurythmics,,,,,,,,,,,
3255,,,,,2020,3,Sweet Dreams (Scott Rill Remix),Besomorph Bolshiee Scott Rill,Besomorph Bolshiee Scott Rill,,,,,,,,,,,
3256,,,,,1975,5,Sweet Emotion,Aerosmith,Aerosmith,,,,,,,,,,,
3257,,,,,,,Sweet Home Alabama,Lynyrd Skynyrd,Lynyrd Skynyrd,,,,,,,,,,,
3258,,,,,2012,3,Sweet Nothing (feat. Florence Welch),"Calvin Harris, Florence Welch",Calvin Harris,Florence Welch,,,,,,,,,,
3259,,,,,2001,3,Sweetness,Jimmy Eat World,Jimmy Eat World,,,,,,,,,,,
3260,,,,,2018,3,Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie, 6ix9ine",A Boogie Wit da Hoodie,6ix9ine,,,,,,,,,,
3261,,,,,,,Swimming Pools (Drank),Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
3262,,,,,,,"Swing, Swing",The All-American Rejects,The All-American Rejects,,,,,,,,,,,
3263,,,,,,,Switch,Will Smith,Will Smith,,,,,,,,,,,
3264,,,,,,,Switch,Will Smith,Will Smith,,,,,,,,,,,
3265,,,,,2013,2,Switch Lanes,"Tyga, The Game",Tyga,The Game,,,,,,,,,,
3266,,,,,,,Sympathy For The Devil,The Rolling Stones,The Rolling Stones,,,,,,,,,,,
3267,,,,,1976,2,T.N.T.,AC/DC,AC/DC,,,,,,,,,,,
3268,,,,,,,Tadow,"Masego, FKJ",Masego,FKJ,,,,,,,,,,
3269,,,,,,,Tainted Love,Soft Cell,Soft Cell,,,,,,,,,,,
3270,,,,,2017,3,Taj,"BLR, Rave & Crave, Nicky Jam",BLR,Rave & Crave,,,,Nicky Jam,,,,,,
3271,,,,,1977,3,Take A Chance On Me,ABBA,ABBA,,,,,,,,,,,
3272,,,,,,,Take a Picture,Filter,Filter,,,,,,,,,,,
3273,,,,,,,Take A Step Back,"Dr. Fresch, Marten Hørger",Dr. Fresch,Marten Hørger,,,,,,,,,,
3274,,,,,2011,4,Take Care,"Drake, Rihanna",Drake,Rihanna,,,,,,,,,,
3275,,,,,,,Take It Back,Logic,Logic,,,,,,,,,,,
3276,,,,,,,Take It Easy,Eagles,Eagles,,,,,,,,,,,
3277,,,,,1971,2,"Take Me Home, Country Roads",John Denver,John Denver,,,,,,,,,,,
3278,,,,,2004,2,Take Me Out,Franz Ferdinand,Franz Ferdinand,,,,,,,,,,,
3279,,,,,1985,3,Take on Me,a-ha,a-ha,,,,,,,,,,,
3280,,,,,2010,3,Take Over Control (Feat. Eva Simons),"Afrojack, Eva Simons",Afrojack,Eva Simons,,,,,,,,,,
3281,,,,,1979,2,Take The Long Way Home,Supertramp,Supertramp,,,,,,,,,,,
3282,,,,,2015,3,Take Ü There (feat. Kiesza),"Jack Ü, Skrillex, Diplo, Kiesza",Jack Ü,Skrillex,Diplo,Kiesza,,,,,,,,
3283,,,,,2015,4,Take Ü There (feat. Kiesza) - Missy Elliott Remix,"Jack Ü, Skrillex, Diplo, Kiesza, Missy Elliott",Jack Ü,Skrillex,Diplo,Kiesza,Missy Elliott,,,,,,,
3284,,,,,,,Takeaway (feat. Lennon Stella),"The Chainsmokers, ILLENIUM, Lennon Stella",The Chainsmokers,ILLENIUM,Lennon Stella,,,,,,,,,
3285,,,,,2018,3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",DJ Snake,Selena Gomez,Ozuna,Cardi B,,,,,,,,
3286,,,,,1973,4,Takin' Care Of Business,Bach-Turner Overdrive,Bach-Turner Overdrive,,,,,,,,,,,
3287,,,,,,,Talk (feat. Disclosure),"Khalid, Disclosure",Khalid,Disclosure,,,,,,,,,,
3288,,,,,,,Talk About You (Remix),MC Flavor Crew,MC Flavor Crew,,,,,,,,,,,
3289,,,,,2013,3,Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",Jason Derulo,2 Chainz,,,,,,,,,,
3290,,,,,,,TAlk tO Me (with Rich The Kid),"Tory Lanez, Rich The Kid",Tory Lanez,Rich The Kid,,,,,,,,,,
3291,,,,,,,Talking to the Moon,Bruno Mars,Bruno Mars,,,,,,,,,,,
3292,,,,,,,Talking to the Moon (Bruno Mars Remix),"Sickick, Bruno Mars",Sickick,Bruno Mars,,,,,,,,,,
3293,,,,,,,Tap (feat. Meek Mill),"NAV, Meek Mill",NAV,Meek Mill,,,,,,,,,,
3294,,,,,,,Tarantino (feat. STARX),"Steve Aoki, Timmy Trumpet, STARX",Steve Aoki,Timmy Trumpet,STARX,,,,,,,,,
3295,,,,,,,Tarantula,"Pendulum, Fresh, $pyda, Tenor Fly",Pendulum,Fresh,$pyda,Tenor Fly,,,,,,,,
3296,,,,,2019,4,Taste (Feat. Offset),"Tyga, Offset",Tyga,Offset,,,,,,,,,,
3297,,,,,,,Tattoos Together,Lauv,Lauv,,,,,,,,,,,
3298,,,,,,,Te Boté (Remix),"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna",Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,,,,,,,
3299,,,,,2011,3,Teach Me How to Dougie,Cali Swag District,Cali Swag District,,,,,,,,,,,
3300,,,,,,,Team,Lorde,Lorde,,,,,,,,,,,
3301,,,,,2001,4,Tear Away,Drowning Pool,Drowning Pool,,,,,,,,,,,
3302,,,,,2015,3,Tear In My Heart,Twenty One Pilots,Twenty One Pilots,,,,,,,,,,,
3303,,,,,2005,4,Tears Don't Fall,Bullet For My Valentine,Bullet For My Valentine,,,,,,,,,,,
3304,,,,,,,TECHNO (Feat. Waka Flocka Flame),"LNY TNZ, Yellow Claw, Diplo, Waka Flocka Flame",LNY TNZ,Yellow Claw,Diplo,Waka Flocka Flame,,,,,,,,
3305,,,,,,,Teenage Dirtbag,Walk Off the Earth,Walk Off the Earth,,,,,,,,,,,
3306,,,,,,,Teenage Dirtbag,Wheatus,Wheatus,,,,,,,,,,,
3307,,,,,2012,3,Teenage Dream,Katy Perry,Katy Perry,,,,,,,,,,,
3308,,,,,2006,4,Teenagers,My Chemical Romance,My Chemical Romance,,,,,,,,,,,
3309,,,,,2012,3,TeKKno Scene (Feat. Adam Kanyama),"Elliphant, Adam Kanyama",Elliphant,Adam Kanyama,,,,,,,,,,
3310,No,No,,,2016,3,Tell You That (PixelMatic Remix),"Action Jackson, Lemi Vice, 2 Chainz, PixelMatic",Action Jackson,Lemi Vice,2 Chainz,PixelMatic,,,,,,,,
3311,,,,,,,Temperature,Sean Paul,Sean Paul,,,,,,,,,,,
3312,,,,,,,Tempo (Feat. Missy Elliott),"Lizzo, Missy Elliott",Lizzo,Missy Elliott,,,,,,,,,,
3313,,,,,2017,2,TEMPTED,Jazz Cartier,Jazz Cartier,,,,,,,,,,,
3314,,,,,2014,4,Ten Feet Tall,"Afrojack, Wrabel",Afrojack,Wrabel,,,,,,,,,,
3315,,,,,2018,4,TEST DRIVE,Joji,Joji,,,,,,,,,,,
3316,,,,,2019,4,"thank u, next",Ariana Grande,Ariana Grande,,,,,,,,,,,
3317,,,,,1999,4,Thank You,Dido,Dido,,,,,,,,,,,
3318,,,,,,,Thank You [Not So Bad],"VIZE, Felix Jaehn",VIZE,Felix Jaehn,,,,,,,,,,
3319,,,,,,,THat Part,"ScHoolboy Q, Kanye West",ScHoolboy Q,Kanye West,,,,,,,,,,
3320,,,,,1966,3,That's Life,Frank Sinatra,Frank Sinatra,,,,,,,,,,,
3321,,,,,,,That's The Shit,Snoop Dogg,Snoop Dogg,,,,,,,,,,,
